Time_Index,Diesel_Price
1,79.77
2,79.77
3,79.77
4,79.77
5,79.77
6,79.77
7,79.77
8,79.77
9,79.77
10,79.77
11,79.77
12,79.77
13,79.77
14,79.77
15,79.77
16,79.77
17,79.77
18,79.77
19,79.77
20,79.77
21,79.77
22,79.77
23,79.77
24,79.77
25,79.77
26,79.77
27,79.77
28,79.77
29,79.77
30,79.77
31,79.77
32,79.77
33,79.77
34,79.77
35,79.77
36,79.77
37,79.77
38,79.77
39,79.77
40,79.77
41,79.77
42,79.77
43,79.77
44,79.77
45,79.77
46,79.77
47,79.77
48,79.77
49,79.77
50,79.77
51,79.77
52,79.77
53,79.77
54,79.77
55,79.77
56,79.77
57,79.77
58,79.77
59,79.77
60,79.77
61,79.77
62,79.77
63,79.77
64,79.77
65,79.77
66,79.77
67,79.77
68,79.77
69,79.77
70,79.77
71,79.77
72,79.77
73,79.77
74,79.77
75,79.77
76,79.77
77,79.77
78,79.77
79,79.77
80,79.77
81,79.77
82,79.77
83,79.77
84,79.77
85,79.77
86,79.77
87,79.77
88,79.77
89,79.77
90,79.77
91,79.77
92,79.77
93,79.77
94,79.77
95,79.77
96,79.77
97,79.77
98,79.77
99,79.77
100,79.77
101,79.77
102,79.77
103,79.77
104,79.77
105,79.77
106,79.77
107,79.77
108,79.77
109,79.77
110,79.77
111,79.77
112,79.77
113,79.77
114,79.77
115,79.77
116,79.77
117,79.77
118,79.77
119,79.77
120,79.77
121,79.77
122,79.77
123,79.77
124,79.77
125,79.77
126,79.77
127,79.77
128,79.77
129,79.77
130,79.77
131,79.77
132,79.77
133,79.77
134,79.77
135,79.77
136,79.77
137,79.77
138,79.77
139,79.77
140,79.77
141,79.77
142,79.77
143,79.77
144,79.77
145,79.77
146,79.77
147,79.77
148,79.77
149,79.77
150,79.77
151,79.77
152,79.77
153,79.77
154,79.77
155,79.77
156,79.77
157,79.77
158,79.77
159,79.77
160,79.77
161,79.77
162,79.77
163,79.77
164,79.77
165,79.77
166,79.77
167,79.77
168,79.77
169,79.77
170,79.77
171,79.77
172,79.77
173,79.77
174,79.77
175,79.77
176,79.77
177,79.77
178,79.77
179,79.77
180,79.77
181,79.77
182,79.77
183,79.77
184,79.77
185,79.77
186,79.77
